breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,id,x,y
lg_name,NBA,AST,0.942953233,0.03666619,Attribution,Point,0.034574502,503,58092,*,*,*,32,*,*,137,-47.479153,16.627874
year,-1,PTS,0.4382351539999999,0.0775282509999999,Trend,Shape,0.033975605,23,215457,*,*,*,27,NBA,*,138,-7.9377685,18.999842
year,1967,PTS,1.0,0.0775282509999999,Change Point,Shape,0.0775282509999999,123,215457,*,*,*,27,NBA,*,139,-7.9377446,19.00012
year,2008,PTS,0.986075656,0.0775282509999999,Outlier,Shape,0.076448721,162,215457,*,*,*,27,NBA,*,140,-7.937742,18.999908
year,-1,AST,0.384376295,0.0775282509999999,Trend,Shape,0.029800022,314,215457,*,*,*,27,NBA,*,141,-50.9699,-22.049406
pos_name,PG,AST,0.972200985,0.0775282509999999,Top1,Point,0.075373042,395,215457,*,*,*,27,NBA,*,142,-50.148285,38.41604
year,1975,AST,1.0,0.0775282509999999,Change Point,Shape,0.0775282509999999,423,215457,*,*,*,27,NBA,*,143,-50.97157,-22.049513
year,1993,AST,0.985348062,0.0775282509999999,Outlier,Shape,0.0763923109999999,473,215457,*,*,*,27,NBA,*,144,-50.972267,-22.049545
year,-1,PTS,0.259887896,0.116149335,Trend,Shape,0.030185806,24,58084,*,*,*,24,*,*,145,26.251493,42.160183
year,1967,PTS,1.0,0.116149335,Change Point,Shape,0.116149335,141,58084,*,*,*,24,*,*,146,26.251926,42.159904
year,1969,PTS,0.992546526,0.116149335,Outlier,Shape,0.115283619,199,58084,*,*,*,24,*,*,147,26.25172,42.160503
lg_name,NBA,PTS,0.906412046,0.116149335,Attribution,Point,0.105279156,243,58084,*,*,*,24,*,*,148,21.568193,16.49743
year,-1,AST,0.272176046,0.116149335,Trend,Shape,0.031613067,329,58084,*,*,*,24,*,*,149,-27.328821,51.424107
pos_name,PG,AST,0.958167965,0.116149335,Top1,Point,0.1112905719999999,375,58084,*,*,*,24,*,*,150,-43.4157,17.454212
year,1967,AST,1.0,0.116149335,Change Point,Shape,0.116149335,441,58084,*,*,*,24,*,*,151,-27.329079,51.423817
year,1973,AST,0.972581233,0.116149335,Outlier,Shape,0.112964663,499,58084,*,*,*,24,*,*,152,-27.32846,51.423985
lg_name,NBA,AST,0.915402102,0.116149335,Attribution,Point,0.106323345,543,58084,*,*,*,24,*,*,153,-43.44719,17.438766
pos_name,PG,AST,0.310709092,0.116149335,Attribution,Point,0.036088654,545,58084,*,*,*,24,*,*,154,-43.41648,17.4543
team_name,-1,PTS;AST,0.824431678,0.116149335,Clustering,Compound Shape,0.0780774229999999,560,58084,*,*,*,24,*,*,155,-34.289627,21.542894
name,-1,PTS;AST,0.4795410579999999,0.116149335,Clustering,Compound Shape,0.08383259,574,58084,*,*,*,24,*,*,156,-34.04537,21.685558
team_name,-1,PTS;AST,0.982580693,0.116149335,Cross Measure Correlation,Compound,0.114126094,600,58084,*,*,*,24,*,*,157,-34.289642,21.542892
year,-1,PTS,0.4870391679999999,0.191245888,Trend,Shape,0.093144238,25,314676,*,*,*,*,*,C,158,-3.7189364,-46.09191
age,24,PTS,0.873854612,0.191245888,Top1,Point,0.167121101,88,314676,*,*,*,*,*,C,159,-2.9397557,40.0711
name,Kareem Abdul-Jabbar,PTS,0.655415947,0.191245888,Top1,Point,0.125345605,91,314676,*,*,*,*,*,C,160,-3.2630801,40.182995
