breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,index,x,y
year,2011,AST,0.998852438,0.094979259,Outlier,Shape,0.094870264,494,182473,*,*,TOT,*,NBA,*,105,59.26403,-24.858042
pos_name,PG,AST,0.358852787,0.094979259,Attribution,Point,0.034083572,510,182473,*,*,TOT,*,NBA,*,106,-6.717397,1.0693523
name,-1,PTS;AST,0.681788398,0.094979259,Clustering,Compound Shape,0.077005484,562,182473,*,*,TOT,*,NBA,*,107,-6.4275475,0.4970842
year,-1,PTS,0.422316406,0.029180375,Trend,Shape,0.012323351,17,182477,*,*,Houston Rockets,*,NBA,*,108,6.655513,21.850586
year,-1,AST,0.373909071,0.029180375,Trend,Shape,0.010910807,320,182477,*,*,Houston Rockets,*,NBA,*,109,63.823174,-27.643333
year,-1,PTS,0.220552985,0.1074715109999999,Trend,Shape,0.023703163,18,25254,*,*,TOT,*,*,*,110,47.848206,35.65731
age,26,PTS,0.856444504,0.1074715109999999,Top1,Point,0.092043385,68,25254,*,*,TOT,*,*,*,111,6.7905087,5.0277104
year,1968,PTS,1.0,0.1074715109999999,Change Point,Shape,0.1074715109999999,130,25254,*,*,TOT,*,*,*,112,47.84809,35.657307
year,2011,PTS,0.995288938,0.1074715109999999,Outlier,Shape,0.106965206,186,25254,*,*,TOT,*,*,*,113,47.848343,35.657257
lg_name,NBA,PTS,0.883518723,0.1074715109999999,Attribution,Point,0.0949530919999999,237,25254,*,*,TOT,*,*,*,114,6.7833,5.031361
year,-1,AST,0.296220794,0.1074715109999999,Trend,Shape,0.031835296,337,25254,*,*,TOT,*,*,*,115,-34.340633,12.27302
age,26,AST,0.799924581,0.1074715109999999,Top1,Point,0.085969103,363,25254,*,*,TOT,*,*,*,116,-8.731339,9.88154
pos_name,PG,AST,0.998694442,0.1074715109999999,Top1,Point,0.107331201,379,25254,*,*,TOT,*,*,*,117,-8.419431,9.683675
year,1968,AST,1.0,0.1074715109999999,Change Point,Shape,0.1074715109999999,430,25254,*,*,TOT,*,*,*,118,-34.3404,12.272856
year,2011,AST,0.99693534,0.1074715109999999,Outlier,Shape,0.107142147,486,25254,*,*,TOT,*,*,*,119,-34.340714,12.273283
pos_name,PG,AST,0.331345492,0.1074715109999999,Attribution,Point,0.035610201,507,25254,*,*,TOT,*,*,*,120,-8.655466,9.402507
lg_name,NBA,AST,0.8974495440000001,0.1074715109999999,Attribution,Point,0.096450259,536,25254,*,*,TOT,*,*,*,121,-8.929842,9.525197
name,-1,PTS;AST,0.669731748,0.1074715109999999,Clustering,Compound Shape,0.08652574,572,25254,*,*,TOT,*,*,*,122,-7.811395,8.840656
year,-1,PTS,0.300473186,0.028226768,Trend,Shape,0.008481387,19,25256,*,*,Milwaukee Bucks,*,*,*,123,49.21753,41.15564
lg_name,NBA,PTS,0.952209648,0.028226768,Attribution,Point,0.026877801,204,25256,*,*,Milwaukee Bucks,*,*,*,124,13.826363,1.6099875
year,-1,AST,0.390980295,0.028226768,Trend,Shape,0.01103611,319,25256,*,*,Milwaukee Bucks,*,*,*,125,-33.673195,6.134095
year,-1,PTS,0.422316406,0.029180375,Trend,Shape,0.012323351,20,25258,*,*,Houston Rockets,*,*,*,126,49.353333,40.62629
lg_name,NBA,PTS,0.952209648,0.029180375,Attribution,Point,0.027785834,209,25258,*,*,Houston Rockets,*,*,*,127,13.33599,1.8695525
year,-1,AST,0.373909071,0.029180375,Trend,Shape,0.010910807,309,25258,*,*,Houston Rockets,*,*,*,128,-33.89736,6.5726695
lg_name,NBA,AST,0.952209648,0.029180375,Attribution,Point,0.027785834,500,25258,*,*,Houston Rockets,*,*,*,129,-11.362259,11.612557
year,-1,PTS,0.504515188,0.035617222,Trend,Shape,0.01796943,21,215462,*,*,*,32,NBA,*,130,-37.60944,-55.14744
year,1996,PTS,0.993773285,0.035617222,Outlier,Shape,0.035395444,150,215462,*,*,*,32,NBA,*,131,-37.613068,-55.149605
year,-1,AST,0.46745174,0.035617222,Trend,Shape,0.016649332,316,215462,*,*,*,32,NBA,*,132,6.320261,-63.745483
year,-1,PTS,0.489953587,0.03666619,Trend,Shape,0.017964731,22,58092,*,*,*,32,*,*,133,-18.349892,37.64148
year,1996,PTS,0.993059264,0.03666619,Outlier,Shape,0.0364117,171,58092,*,*,*,32,*,*,134,-18.350065,37.641415
lg_name,NBA,PTS,0.94163433,0.03666619,Attribution,Point,0.0345261429999999,207,58092,*,*,*,32,*,*,135,66.163025,18.937326
year,-1,AST,0.455554479,0.03666619,Trend,Shape,0.016703447,340,58092,*,*,*,32,*,*,136,-61.47834,14.80264
lg_name,NBA,AST,0.942953233,0.03666619,Attribution,Point,0.034574502,503,58092,*,*,*,32,*,*,137,30.723291,-48.518387
year,-1,PTS,0.4382351539999999,0.0775282509999999,Trend,Shape,0.033975605,23,215457,*,*,*,27,NBA,*,138,-31.684662,-54.9092
year,1967,PTS,1.0,0.0775282509999999,Change Point,Shape,0.0775282509999999,123,215457,*,*,*,27,NBA,*,139,-31.685987,-54.909256
year,2008,PTS,0.986075656,0.0775282509999999,Outlier,Shape,0.076448721,162,215457,*,*,*,27,NBA,*,140,-31.686275,-54.909832
year,-1,AST,0.384376295,0.0775282509999999,Trend,Shape,0.029800022,314,215457,*,*,*,27,NBA,*,141,-0.57520384,-63.352703
pos_name,PG,AST,0.972200985,0.0775282509999999,Top1,Point,0.075373042,395,215457,*,*,*,27,NBA,*,142,5.3085494,69.87843
year,1975,AST,1.0,0.0775282509999999,Change Point,Shape,0.0775282509999999,423,215457,*,*,*,27,NBA,*,143,-0.57519275,-63.35328
year,1993,AST,0.985348062,0.0775282509999999,Outlier,Shape,0.0763923109999999,473,215457,*,*,*,27,NBA,*,144,-0.5748756,-63.354332
year,-1,PTS,0.259887896,0.116149335,Trend,Shape,0.030185806,24,58084,*,*,*,24,*,*,145,-11.357087,33.659004
year,1967,PTS,1.0,0.116149335,Change Point,Shape,0.116149335,141,58084,*,*,*,24,*,*,146,-11.357076,33.658203
year,1969,PTS,0.992546526,0.116149335,Outlier,Shape,0.115283619,199,58084,*,*,*,24,*,*,147,-11.356764,33.660297
lg_name,NBA,PTS,0.906412046,0.116149335,Attribution,Point,0.105279156,243,58084,*,*,*,24,*,*,148,62.695404,19.152714
year,-1,AST,0.272176046,0.116149335,Trend,Shape,0.031613067,329,58084,*,*,*,24,*,*,149,-63.170155,9.288692
pos_name,PG,AST,0.958167965,0.116149335,Top1,Point,0.1112905719999999,375,58084,*,*,*,24,*,*,150,36.560368,-47.410866
year,1967,AST,1.0,0.116149335,Change Point,Shape,0.116149335,441,58084,*,*,*,24,*,*,151,-63.166874,9.2889185
year,1973,AST,0.972581233,0.116149335,Outlier,Shape,0.112964663,499,58084,*,*,*,24,*,*,152,-63.16833,9.288801
lg_name,NBA,AST,0.915402102,0.116149335,Attribution,Point,0.106323345,543,58084,*,*,*,24,*,*,153,36.53863,-47.434635
pos_name,PG,AST,0.310709092,0.116149335,Attribution,Point,0.036088654,545,58084,*,*,*,24,*,*,154,36.561058,-47.410866
